Participant,Practice,Block,Trial,TargetChange,ObjectsCount
0,false,3,0,VV1VV2,9
0,false,3,1,VV1VV2,25
0,false,3,2,VV1VV2,16
0,false,3,3,VV1VV2,9
0,false,3,4,VV1VV2,16
0,false,3,5,VV1VV2,9
0,false,3,6,VV1VV2,25
0,false,3,7,VV1VV2,16
0,false,3,8,VV1VV2,9
0,false,3,9,VV1VV2,4
0,false,3,10,VV1VV2,4
0,false,3,11,VV1VV2,4
0,false,3,12,VV1VV2,25
0,false,3,13,VV1VV2,16
0,false,3,14,VV1VV2,4
0,false,3,15,VV1VV2,4
0,false,3,16,VV1VV2,25
0,false,3,17,VV1VV2,9
0,false,3,18,VV1VV2,16
0,false,3,19,VV1VV2,25
1,false,1,0,VV1VV2,25
1,false,1,1,VV1VV2,4
1,false,1,2,VV1VV2,16
1,false,1,3,VV1VV2,16
1,false,1,4,VV1VV2,25
1,false,1,5,VV1VV2,4
1,false,1,6,VV1VV2,4
1,false,1,7,VV1VV2,4
1,false,1,8,VV1VV2,25
1,false,1,9,VV1VV2,16
1,false,1,10,VV1VV2,9
1,false,1,11,VV1VV2,25
1,false,1,12,VV1VV2,4
1,false,1,13,VV1VV2,9
1,false,1,14,VV1VV2,16
1,false,1,15,VV1VV2,9
1,false,1,16,VV1VV2,9
1,false,1,17,VV1VV2,25
1,false,1,18,VV1VV2,9
1,false,1,19,VV1VV2,16
1,false,2,0,VV2,4
1,false,2,1,VV2,4
1,false,2,2,VV2,25
1,false,2,3,VV2,16
1,false,2,4,VV2,4
1,false,2,5,VV2,25
1,false,2,6,VV2,9
1,false,2,7,VV2,4
1,false,2,8,VV2,16
1,false,2,9,VV2,16
1,false,2,10,VV2,25
1,false,2,11,VV2,25
1,false,2,12,VV2,9
1,false,2,13,VV2,4
1,false,2,14,VV2,9
1,false,2,15,VV2,9
1,false,2,16,VV2,25
1,false,2,17,VV2,16
1,false,2,18,VV2,9
1,false,2,19,VV2,16
1,false,3,0,VV1,4
1,false,3,1,VV1,16
1,false,3,2,VV1,16
1,false,3,3,VV1,9
1,false,3,4,VV1,9
1,false,3,5,VV1,4
1,false,3,6,VV1,4
1,false,3,7,VV1,25
1,false,3,8,VV1,25
1,false,3,9,VV1,9
1,false,3,10,VV1,25
1,false,3,11,VV1,25
1,false,3,12,VV1,25
1,false,3,13,VV1,16
1,false,3,14,VV1,16
1,false,3,15,VV1,9
1,false,3,16,VV1,4
1,false,3,17,VV1,16
1,false,3,18,VV1,9
1,false,3,19,VV1,4
2,false,1,0,VV1,16
2,false,1,1,VV1,9
2,false,1,2,VV1,25
2,false,1,3,VV1,4
2,false,1,4,VV1,9
2,false,1,5,VV1,25
2,false,1,6,VV1,25
2,false,1,7,VV1,4
2,false,1,8,VV1,4
2,false,1,9,VV1,9
2,false,1,10,VV1,16
2,false,1,11,VV1,16
2,false,1,12,VV1,9
2,false,1,13,VV1,4
2,false,1,14,VV1,16
2,false,1,15,VV1,25
2,false,1,16,VV1,4
2,false,1,17,VV1,9
2,false,1,18,VV1,25
2,false,1,19,VV1,16
2,false,2,0,VV1VV2,4
2,false,2,1,VV1VV2,16
2,false,2,2,VV1VV2,9
2,false,2,3,VV1VV2,25
2,false,2,4,VV1VV2,16
2,false,2,5,VV1VV2,9
2,false,2,6,VV1VV2,25
2,false,2,7,VV1VV2,4
2,false,2,8,VV1VV2,25
2,false,2,9,VV1VV2,16
2,false,2,10,VV1VV2,4
2,false,2,11,VV1VV2,9
2,false,2,12,VV1VV2,4
2,false,2,13,VV1VV2,25
2,false,2,14,VV1VV2,9
2,false,2,15,VV1VV2,9
2,false,2,16,VV1VV2,4
2,false,2,17,VV1VV2,25
2,false,2,18,VV1VV2,16
2,false,2,19,VV1VV2,16
2,false,3,0,VV2,4
2,false,3,1,VV2,16
2,false,3,2,VV2,4
2,false,3,3,VV2,25
2,false,3,4,VV2,9
2,false,3,5,VV2,9
2,false,3,6,VV2,9
2,false,3,7,VV2,4
2,false,3,8,VV2,4
2,false,3,9,VV2,16
2,false,3,10,VV2,9
2,false,3,11,VV2,4
2,false,3,12,VV2,16
2,false,3,13,VV2,16
2,false,3,14,VV2,25
2,false,3,15,VV2,25
2,false,3,16,VV2,25
2,false,3,17,VV2,25
2,false,3,18,VV2,9
2,false,3,19,VV2,16
3,false,1,0,VV2,16
3,false,1,1,VV2,4
3,false,1,2,VV2,4
3,false,1,3,VV2,16
3,false,1,4,VV2,4
3,false,1,5,VV2,16
3,false,1,6,VV2,25
3,false,1,7,VV2,25
3,false,1,8,VV2,4
3,false,1,9,VV2,9
3,false,1,10,VV2,16
3,false,1,11,VV2,9
3,false,1,12,VV2,25
3,false,1,13,VV2,9
3,false,1,14,VV2,9
3,false,1,15,VV2,9
3,false,1,16,VV2,25
3,false,1,17,VV2,16
3,false,1,18,VV2,4
3,false,1,19,VV2,25
3,false,2,0,VV1,25
3,false,2,1,VV1,25
3,false,2,2,VV1,4
3,false,2,3,VV1,16
3,false,2,4,VV1,9
3,false,2,5,VV1,4
3,false,2,6,VV1,16
3,false,2,7,VV1,4
3,false,2,8,VV1,16
3,false,2,9,VV1,16
3,false,2,10,VV1,9
3,false,2,11,VV1,9
3,false,2,12,VV1,16
3,false,2,13,VV1,25
3,false,2,14,VV1,9
3,false,2,15,VV1,4
3,false,2,16,VV1,4
3,false,2,17,VV1,25
3,false,2,18,VV1,9
3,false,2,19,VV1,25
3,false,3,0,VV1VV2,16
3,false,3,1,VV1VV2,16
3,false,3,2,VV1VV2,25
3,false,3,3,VV1VV2,16
3,false,3,4,VV1VV2,9
3,false,3,5,VV1VV2,9
3,false,3,6,VV1VV2,9
3,false,3,7,VV1VV2,4
3,false,3,8,VV1VV2,9
3,false,3,9,VV1VV2,25
3,false,3,10,VV1VV2,25
3,false,3,11,VV1VV2,9
3,false,3,12,VV1VV2,4
3,false,3,13,VV1VV2,16
3,false,3,14,VV1VV2,4
3,false,3,15,VV1VV2,25
3,false,3,16,VV1VV2,4
3,false,3,17,VV1VV2,25
3,false,3,18,VV1VV2,16
3,false,3,19,VV1VV2,4
4,false,1,0,VV1VV2,9
4,false,1,1,VV1VV2,4
4,false,1,2,VV1VV2,25
4,false,1,3,VV1VV2,16
4,false,1,4,VV1VV2,9
4,false,1,5,VV1VV2,4
4,false,1,6,VV1VV2,25
4,false,1,7,VV1VV2,16
4,false,1,8,VV1VV2,4
4,false,1,9,VV1VV2,9
4,false,1,10,VV1VV2,25
4,false,1,11,VV1VV2,4
4,false,1,12,VV1VV2,16
4,false,1,13,VV1VV2,4
4,false,1,14,VV1VV2,25
4,false,1,15,VV1VV2,9
4,false,1,16,VV1VV2,25
4,false,1,17,VV1VV2,9
4,false,1,18,VV1VV2,16
4,false,1,19,VV1VV2,16
4,false,2,0,VV2,9
4,false,2,1,VV2,16
4,false,2,2,VV2,25
4,false,2,3,VV2,9
4,false,2,4,VV2,9
4,false,2,5,VV2,4
4,false,2,6,VV2,16
4,false,2,7,VV2,4
4,false,2,8,VV2,16
4,false,2,9,VV2,25
4,false,2,10,VV2,25
4,false,2,11,VV2,4
4,false,2,12,VV2,4
4,false,2,13,VV2,25
4,false,2,14,VV2,4
4,false,2,15,VV2,16
4,false,2,16,VV2,9
4,false,2,17,VV2,16
4,false,2,18,VV2,25
4,false,2,19,VV2,9
4,false,3,0,VV1,25
4,false,3,1,VV1,25
4,false,3,2,VV1,9
4,false,3,3,VV1,4
4,false,3,4,VV1,16
4,false,3,5,VV1,16
4,false,3,6,VV1,25
4,false,3,7,VV1,9
4,false,3,8,VV1,16
4,false,3,9,VV1,25
4,false,3,10,VV1,9
4,false,3,11,VV1,4
4,false,3,12,VV1,16
4,false,3,13,VV1,25
4,false,3,14,VV1,16
4,false,3,15,VV1,4
4,false,3,16,VV1,9
4,false,3,17,VV1,4
4,false,3,18,VV1,9
4,false,3,19,VV1,4
5,false,1,0,VV1,9
5,false,1,1,VV1,25
5,false,1,2,VV1,4
5,false,1,3,VV1,16
5,false,1,4,VV1,16
5,false,1,5,VV1,16
5,false,1,6,VV1,4
5,false,1,7,VV1,25
5,false,1,8,VV1,16
5,false,1,9,VV1,4
5,false,1,10,VV1,9
5,false,1,11,VV1,4
5,false,1,12,VV1,9
5,false,1,13,VV1,25
5,false,1,14,VV1,4
5,false,1,15,VV1,9
5,false,1,16,VV1,9
5,false,1,17,VV1,25
5,false,1,18,VV1,25
5,false,1,19,VV1,16
5,false,2,0,VV1VV2,25
5,false,2,1,VV1VV2,16
5,false,2,2,VV1VV2,4
5,false,2,3,VV1VV2,9
5,false,2,4,VV1VV2,9
5,false,2,5,VV1VV2,25
5,false,2,6,VV1VV2,9
5,false,2,7,VV1VV2,16
5,false,2,8,VV1VV2,4
5,false,2,9,VV1VV2,16
5,false,2,10,VV1VV2,25
5,false,2,11,VV1VV2,4
5,false,2,12,VV1VV2,16
5,false,2,13,VV1VV2,9
5,false,2,14,VV1VV2,4
5,false,2,15,VV1VV2,9
5,false,2,16,VV1VV2,25
5,false,2,17,VV1VV2,25
5,false,2,18,VV1VV2,16
5,false,2,19,VV1VV2,4
5,false,3,0,VV2,9
5,false,3,1,VV2,4
5,false,3,2,VV2,9
5,false,3,3,VV2,16
5,false,3,4,VV2,4
5,false,3,5,VV2,16
5,false,3,6,VV2,25
5,false,3,7,VV2,4
5,false,3,8,VV2,9
5,false,3,9,VV2,4
5,false,3,10,VV2,9
5,false,3,11,VV2,25
5,false,3,12,VV2,4
5,false,3,13,VV2,16
5,false,3,14,VV2,16
5,false,3,15,VV2,25
5,false,3,16,VV2,9
5,false,3,17,VV2,25
5,false,3,18,VV2,16
5,false,3,19,VV2,25
